player_name,team,league,line_score,stat_type,start_time,updated_at,scrape_time
Ochai Agbaji,Raptors,NBA,4.5,Points,2025-10-29T18:40:00-04:00,2025-10-29T10:01:42-04:00,2025-10-29 16:58:22
Steven Adams,Rockets,NBA,4.5,Points,2025-10-29T18:40:00-04:00,2025-10-29T10:04:25-04:00,2025-10-29 16:58:22
Tyrese Martin,Nets,NBA,6.5,Points,2025-10-29T19:40:00-04:00,2025-10-29T11:35:51-04:00,2025-10-29 16:58:22
Mark Williams,Suns,NBA,12.5,Points,2025-10-29T22:10:00-04:00,2025-10-29T10:24:42-04:00,2025-10-29 16:58:22
Tim Hardaway,Nuggets,NBA,10.5,Points,2025-10-29T21:10:00-04:00,2025-10-29T12:52:16-04:00,2025-10-29 16:58:22
Jaxson Hayes,Lakers,NBA,4.5,Points,2025-10-29T21:40:00-04:00,2025-10-29T12:43:22-04:00,2025-10-29 16:58:22
Jarace Walker,Pacers,NBA,10.5,Points,2025-10-29T20:40:00-04:00,2025-10-29T11:30:54-04:00,2025-10-29 16:58:22
Tony Bradley,Pacers,NBA,8.5,Points,2025-10-29T20:40:00-04:00,2025-10-29T11:47:39-04:00,2025-10-29 16:58:22
Derik Queen,Pelicans,NBA,8.5,Points,2025-10-29T21:10:00-04:00,2025-10-29T12:29:46-04:00,2025-10-29 16:58:22
Blake Wesley,Trail Blazers,NBA,6.5,Points,2025-10-29T21:10:00-04:00,2025-10-29T12:25:16-04:00,2025-10-29 16:58:22
